date,time,type,sl
2019-05-07,10:10:00,S,3010.91
2019-05-08,11:10:00,L,2996.04
2019-05-09,10:00:00,S,2965.15
2019-05-10,10:20:00,S,2962.99
2019-05-13,10:30:00,S,2932.23
2019-05-14,11:00:00,L,2941.76
2019-05-15,10:20:00,L,2927.78
2019-05-16,10:00:00,L,2981.16
2019-05-17,10:50:00,L,2977.10
2019-05-20,10:40:00,L,2957.65
2019-05-21,12:10:00,L,2970.34
2019-05-22,10:20:00,L,2964.75
2019-05-23,10:00:00,S,2929.76
2019-05-24,10:30:00,S,2944.49
2019-05-28,14:50:00,S,2928.77
2019-05-29,15:10:00,S,2882.58
