date,time,open,high,low,close,volume
20231126,180000,4568.25,4569.00,4564.50,4565.00,644
20231126,180100,4565.00,4565.25,4563.50,4564.00,474
20231126,180200,4563.75,4564.00,4563.00,4563.50,353
20231126,180300,4563.50,4563.75,4562.50,4563.25,348
20231126,180400,4563.00,4564.25,4563.00,4563.75,138
20231126,180500,4564.00,4564.00,4563.25,4563.75,91
20231126,180600,4563.75,4564.25,4563.75,4563.75,160
20231126,180700,4563.75,4564.25,4563.75,4564.00,97
20231126,180800,4563.75,4564.25,4563.75,4564.00,89
20231126,180900,4563.75,4564.00,4563.75,4564.00,47
20231126,181000,4564.00,4564.00,4563.50,4563.75,81
20231126,181100,4563.75,4564.00,4563.50,4563.75,59
20231126,181200,4563.50,4564.25,4563.50,4564.25,182
20231126,181300,4564.50,4565.00,4564.25,4564.75,160
20231126,181400,4564.75,4565.25,4564.50,4564.50,91
20231126,181500,4564.75,4565.00,4564.25,4564.50,78
20231126,181600,4564.25,4564.75,4564.25,4564.75,33
20231126,181700,4564.75,4564.75,4564.25,4564.50,33
20231126,181800,4564.50,4564.75,4564.25,4564.50,55
20231126,181900,4564.50,4564.75,4564.25,4564.75,44
20231126,182000,4564.50,4564.75,4564.25,4564.25,65
20231126,182100,4564.25,4564.75,4564.25,4564.75,34
20231126,182200,4564.50,4564.75,4564.25,4564.50,78
20231126,182300,4564.50,4564.50,4564.25,4564.50,29
20231126,182400,4564.50,4564.50,4564.00,4564.00,84
20231126,182500,4564.00,4564.00,4563.25,4563.50,134
20231126,182600,4563.50,4564.00,4563.50,4563.75,236
20231126,182700,4563.75,4564.00,4563.75,4564.00,54
20231126,182800,4564.00,4564.00,4563.75,4563.75,77
20231126,182900,4563.75,4564.25,4563.75,4563.75,96
20231126,183000,4563.75,4564.00,4563.50,4563.50,85
20231126,183100,4563.50,4563.50,4562.75,4562.75,127
20231126,183200,4563.00,4563.25,4563.00,4563.25,121
20231126,183300,4563.00,4563.25,4562.50,4562.50,173
20231126,183400,4562.50,4563.00,4562.50,4562.75,60
20231126,183500,4562.75,4563.00,4562.75,4562.75,67
20231126,183600,4562.50,4562.75,4562.25,4562.50,81
20231126,183700,4562.50,4562.50,4562.25,4562.50,202
20231126,183800,4562.50,4562.50,4561.25,4561.25,563
20231126,183900,4561.50,4561.50,4560.75,4561.50,439
20231126,184000,4561.25,4561.50,4561.25,4561.50,151
20231126,184100,4561.50,4561.75,4561.25,4561.75,98
20231126,184200,4561.75,4561.75,4561.50,4561.50,39
20231126,184300,4561.50,4561.75,4561.25,4561.50,49
20231126,184400,4561.75,4561.75,4561.50,4561.50,56
20231126,184500,4561.75,4562.00,4561.50,4561.75,71
20231126,184600,4561.75,4562.25,4561.75,4562.00,51
20231126,184700,4562.00,4562.25,4561.50,4562.00,130
20231126,184800,4562.25,4562.25,4562.00,4562.25,85
20231126,184900,4562.25,4562.25,4562.25,4562.25,37
20231126,185000,4562.50,4562.50,4562.00,4562.00,54
20231126,185100,4562.00,4562.25,4561.75,4561.75,49
20231126,185200,4562.00,4562.25,4562.00,4562.00,227
20231126,185300,4562.25,4562.25,4562.00,4562.00,52
20231126,185400,4562.00,4562.25,4561.75,4562.25,18
20231126,185500,4562.00,4562.25,4562.00,4562.25,23
20231126,185600,4562.00,4562.25,4561.75,4562.00,36
20231126,185700,4562.00,4562.25,4562.00,4562.25,11
20231126,185800,4562.25,4562.25,4562.00,4562.25,97
20231126,185900,4562.25,4562.25,4561.75,4562.00,106
20231126,190000,4561.75,4562.00,4561.00,4561.00,333
20231126,190100,4561.00,4561.25,4560.75,4560.75,360
20231126,190200,4561.00,4561.00,4560.50,4561.00,329
20231126,190300,4561.00,4561.00,4560.75,4560.75,115
20231126,190400,4560.75,4561.00,4560.75,4561.00,43
20231126,190500,4560.75,4561.00,4560.50,4561.00,72
20231126,190600,4561.00,4561.00,4560.75,4561.00,54
20231126,190700,4561.00,4561.00,4559.75,4559.75,317
20231126,190800,4560.00,4560.25,4559.75,4560.00,236
20231126,190900,4559.75,4560.75,4559.75,4560.75,194
20231126,191000,4560.75,4561.25,4560.50,4560.75,272
20231126,191100,4560.75,4560.75,4560.25,4560.25,59
20231126,191200,4560.25,4560.50,4560.00,4560.25,64
20231126,191300,4560.25,4560.50,4560.00,4560.50,41
20231126,191400,4560.25,4560.50,4560.25,4560.25,43
20231126,191500,4560.00,4560.50,4560.00,4560.25,75
20231126,191600,4560.00,4560.00,4559.75,4560.00,143
20231126,191700,4559.75,4560.00,4559.50,4560.00,154
20231126,191800,4560.00,4560.00,4559.00,4559.50,356
20231126,191900,4559.25,4559.50,4558.00,4558.00,329
20231126,192000,4558.25,4559.50,4558.25,4559.25,310
20231126,192100,4559.25,4559.50,4559.00,4559.25,156
20231126,192200,4559.25,4560.00,4559.25,4559.75,167
20231126,192300,4559.75,4560.00,4559.50,4559.75,85
20231126,192400,4559.50,4559.75,4559.50,4559.75,105
20231126,192500,4559.75,4559.75,4559.50,4559.50,64
20231126,192600,4559.50,4559.50,4559.25,4559.50,59
20231126,192700,4559.25,4559.25,4558.50,4558.50,123
20231126,192800,4558.50,4558.75,4558.50,4558.50,108
20231126,192900,4558.50,4559.25,4558.50,4559.00,73
20231126,193000,4558.75,4559.25,4558.75,4559.00,112
20231126,193100,4559.00,4559.25,4558.75,4558.75,77
20231126,193200,4559.00,4559.25,4559.00,4559.25,57
20231126,193300,4559.00,4559.25,4558.75,4559.00,116
20231126,193400,4559.00,4559.00,4558.25,4558.25,137
20231126,193500,4558.25,4558.75,4558.00,4558.50,78
20231126,193600,4558.50,4559.00,4558.25,4559.00,81
20231126,193700,4559.00,4559.00,4558.50,4558.50,72
20231126,193800,4558.50,4558.50,4558.00,4558.00,98
20231126,193900,4558.25,4558.50,4558.00,4558.00,172
20231126,194000,4558.25,4558.50,4558.00,4558.50,79
20231126,194100,4558.50,4559.25,4558.25,4559.00,95
20231126,194200,4559.00,4559.25,4558.75,4558.75,44
20231126,194300,4558.75,4559.25,4558.75,4558.75,50
20231126,194400,4558.50,4558.75,4558.50,4558.75,27
20231126,194500,4558.75,4559.00,4558.75,4559.00,69
20231126,194600,4559.00,4559.00,4558.50,4558.50,109
20231126,194700,4558.75,4559.00,4558.50,4558.75,89
20231126,194800,4558.75,4559.25,4558.75,4559.00,60
20231126,194900,4559.25,4559.25,4558.75,4558.75,38
20231126,195000,4558.75,4559.25,4558.75,4559.00,87
20231126,195100,4559.00,4559.00,4558.75,4558.75,88
20231126,195200,4558.75,4559.00,4558.50,4558.50,42
20231126,195300,4558.50,4558.75,4558.25,4558.50,58
20231126,195400,4558.75,4558.75,4558.50,4558.50,17
20231126,195500,4558.75,4558.75,4558.50,4558.75,23
20231126,195600,4558.75,4558.75,4558.50,4558.75,40
20231126,195700,4558.50,4558.50,4558.00,4558.00,89
20231126,195800,4558.00,4558.25,4558.00,4558.00,47
